,City Name,Latitude,Longitude,Maximum Temp,Humidity,Cloud Coverage,Wind Speed,Country,Date and Time
313,half moon bay,37.4636,-122.4286,73.54,81,1,8.05,US,1628741118
314,largo,27.9095,-82.7873,79.99,88,1,0.0,US,1628741118
315,bukachacha,52.9833,116.9167,65.21,67,100,2.21,RU,1628741118
316,cayenne,4.9333,-52.3333,76.08,89,0,0.0,GF,1628741119
317,buluang,13.3068,123.3425,89.74,60,100,3.51,PH,1628741119
318,muros,42.7762,-9.0603,64.99,93,10,7.18,ES,1628741120
319,ilulissat,69.2167,-51.1,46.42,76,75,1.14,GL,1628741120
320,curup,-3.4667,102.5333,82.63,38,97,3.85,ID,1628741121
321,pochutla,15.7432,-96.4661,73.22,91,18,3.67,MX,1628741121
322,starobaltachevo,56.0013,55.9213,63.34,52,31,8.75,RU,1628741121
323,washington,47.5001,-120.5015,88.29,35,31,5.5,US,1628741043
324,sisophon,13.5859,102.9737,91.54,55,95,8.39,KH,1628741122
325,faanui,-16.4833,-151.75,78.82,73,9,13.35,PF,1628741122
326,oistins,13.0667,-59.5333,80.69,78,40,14.97,BB,1628741123
327,tambun,-6.2641,107.0712,89.64,43,5,9.22,ID,1628741124
328,tucurui,-3.7661,-49.6725,73.15,92,25,4.09,BR,1628741124
329,havre-saint-pierre,50.2334,-63.5986,61.25,98,80,12.37,CA,1628741125
330,sur,22.5667,59.5289,90.32,55,8,4.25,OM,1628741125
331,palmer,42.1584,-72.3287,79.93,79,1,3.44,US,1628741126
332,sorland,67.667,12.6934,54.48,93,100,7.43,NO,1628741126
333,trinidad,-14.8333,-64.9,65.73,42,63,8.59,BO,1628741126
334,chaumont,48.1167,5.1333,57.49,88,31,3.2,FR,1628741127
335,hotaka,36.3396,137.8825,82.13,74,100,1.86,JP,1628741127
336,provideniya,64.3833,-173.3,41.11,81,90,8.95,RU,1628741129
337,ucluelet,48.9329,-125.5528,78.04,86,96,1.41,CA,1628740958
338,talcahuano,-36.7167,-73.1167,40.68,93,0,3.44,CL,1628741115
339,lebu,-37.6167,-73.65,47.01,75,0,5.08,CL,1628741134
340,inverness,57.4791,-4.224,46.98,95,0,4.61,GB,1628741134
341,garissa,-0.4536,39.6401,72.63,72,76,12.86,KE,1628741138
342,slave lake,55.2834,-114.769,54.7,67,30,7.14,CA,1628741139
343,cumberland,35.0502,-78.8664,81.57,82,1,4.61,US,1628740957
344,souillac,-20.5167,57.5167,74.35,86,25,11.65,MU,1628740867
345,airai,-8.9266,125.4092,77.23,43,31,6.78,TL,1628741140
346,chapais,49.7834,-74.8492,67.53,92,8,8.77,CA,1628741140
347,lamas,-6.4167,-76.5333,63.14,96,92,3.31,PE,1628741141
348,ruthen,51.4909,8.436,57.07,82,0,3.44,DE,1628741141
349,garowe,8.4054,48.4845,74.41,67,53,20.98,SO,1628741142
350,vallenar,-28.5708,-70.7581,51.22,82,2,1.32,CL,1628741142
351,nedjo,9.5046,35.5019,56.95,98,78,1.68,ET,1628741143
352,kapoeta,4.7717,33.5903,69.89,85,10,1.5,SS,1628741143
353,ajra,16.1167,74.2,74.41,80,97,9.55,IN,1628741143
354,avera,33.194,-82.5271,76.51,85,77,7.23,US,1628741144
355,linden,6.0,-58.3,75.34,97,100,1.14,GY,1628741144
356,pangnirtung,66.1451,-65.7125,47.44,70,99,10.76,CA,1628741145
357,jalu,29.0331,21.5482,81.82,52,0,3.38,LY,1628741145
358,dharchula,29.85,80.5333,81.07,76,97,4.29,IN,1628741145
359,somerset east,-32.7217,25.588,43.9,63,5,7.87,ZA,1628741146
360,xiaoshi,41.2971,124.1209,66.22,89,100,2.21,CN,1628741146
361,magnitogorsk,53.4186,59.0472,58.03,67,4,13.42,RU,1628741147
362,saint-leu,-21.15,55.2833,70.66,73,2,5.59,RE,1628741147
363,hambantota,6.1241,81.1185,82.74,83,75,12.66,LK,1628741148
